Gene stable ID version,Transcript stable ID version,Strand,Exon region start (bp),Exon region end (bp),Chromosome/scaffold name
ENSG00000310337.1,ENST00000849138.1,-,43333474,43333924,21
ENSG00000225637.2,ENST00000435702.2,+,43363332,43365687,21
ENSG00000225637.2,ENST00000435702.2,+,43366107,43366576,21
ENSG00000300149.1,ENST00000769488.1,-,43396719,43396950,21
ENSG00000300149.1,ENST00000769488.1,-,43392478,43393513,21
ENSG00000300030.1,ENST00000768267.1,-,43410572,43410724,21
ENSG00000300030.1,ENST00000768267.1,-,43409294,43409871,21
ENSG00000301136.1,ENST00000776529.1,+,41053100,41053184,21
ENSG00000301136.1,ENST00000776529.1,+,41053277,41054111,21
ENSG00000308866.1,ENST00000836950.1,+,41149546,41149647,21
ENSG00000308866.1,ENST00000836950.1,+,41150991,41151367,21
ENSG00000224388.1,ENST00000433378.1,+,41180097,41180284,21
ENSG00000224388.1,ENST00000433378.1,+,41180433,41180626,21
ENSG00000279062.1,ENST00000623954.1,+,10136419,10137004,21
ENSG00000226580.1,ENST00000445481.1,-,17500679,17500824,21
ENSG00000230198.1,ENST00000448908.1,+,19593841,19594108,21
ENSG00000185390.2,ENST00000332473.2,+,13349265,13349368,21
ENSG00000185390.2,ENST00000332473.2,+,13350457,13350648,21
ENSG00000294575.1,ENST00000724468.1,+,13337482,13337633,21
ENSG00000294575.1,ENST00000724468.1,+,13349265,13349368,21
ENSG00000294575.1,ENST00000724468.1,+,13350457,13351638,21
ENSG00000226054.2,ENST00000452572.1,+,36130489,36131376,21
ENSG00000295944.1,ENST00000734257.1,+,36130116,36130576,21
ENSG00000295944.1,ENST00000734257.1,+,36130764,36131024,21
ENSG00000249493.1,ENST00000359341.3,+,14064325,14064527,21
ENSG00000249493.1,ENST00000359341.3,+,14068637,14068751,21
ENSG00000249493.1,ENST00000359341.3,+,14068914,14069087,21
ENSG00000240755.1,ENST00000433806.1,+,14143581,14144158,21
ENSG00000224747.1,ENST00000443300.1,-,44472098,44472516,21
ENSG00000224747.1,ENST00000443300.1,-,44470670,44470927,21
ENSG00000224747.1,ENST00000443300.1,-,44469929,44470364,21
ENSG00000227999.1,ENST00000445440.1,-,44473723,44475097,21
ENSG00000278931.1,ENST00000624291.1,+,8857260,8857318,21
ENSG00000278931.1,ENST00000624291.1,+,8859997,8860066,21
ENSG00000278931.1,ENST00000624291.1,+,8864001,8864082,21
ENSG00000278931.1,ENST00000624291.1,+,8866871,8866899,21
ENSG00000278931.1,ENST00000624291.1,+,8866991,8867063,21
ENSG00000278931.1,ENST00000624291.1,+,8873017,8873087,21
ENSG00000278931.1,ENST00000624291.1,+,8877131,8877294,21
ENSG00000278931.1,ENST00000624291.1,+,8878664,8878843,21
ENSG00000278931.1,ENST00000624291.1,+,8880012,8880976,21
ENSG00000280436.1,ENST00000623201.1,+,9053122,9053393,21
ENSG00000280436.1,ENST00000623201.1,+,9058823,9059060,21
ENSG00000222018.2,ENST00000410005.2,-,34400112,34401072,21
ENSG00000273104.1,ENST00000608665.1,+,34412200,34412587,21
ENSG00000272958.1,ENST00000608289.1,+,34425508,34426017,21
ENSG00000212938.4,ENST00000391624.2,+,30592440,30593055,21
ENSG00000310045.1,ENST00000846742.1,-,9339776,9339873,21
ENSG00000310045.1,ENST00000846742.1,-,9329253,9329345,21
ENSG00000310045.1,ENST00000846742.1,-,9326885,9327358,21
ENSG00000279718.1,ENST00000624821.1,-,9364467,9365225,21
ENSG00000279208.1,ENST00000624041.1,-,9376352,9376645,21
ENSG00000279208.1,ENST00000624041.1,-,9375508,9375719,21
ENSG00000279208.1,ENST00000624041.1,-,9373947,9374166,21
ENSG00000279208.1,ENST00000624041.1,-,9369285,9369326,21
ENSG00000279864.4,ENST00000624736.2,+,9548885,9548995,21
ENSG00000279864.4,ENST00000624736.2,+,9558973,9559155,21
ENSG00000309615.1,ENST00000842449.1,-,9592590,9592815,21
ENSG00000309615.1,ENST00000842449.1,-,9586972,9587071,21
ENSG00000309615.1,ENST00000842449.1,-,9579335,9580446,21
ENSG00000279211.1,ENST00000623408.1,-,9580024,9580415,21
ENSG00000309577.1,ENST00000842179.1,+,9614019,9614145,21
ENSG00000309577.1,ENST00000842179.1,+,9629845,9629967,21
ENSG00000309577.1,ENST00000842179.1,+,9681567,9681769,21
ENSG00000275631.1,ENST00000620684.1,+,9646825,9647000,21
ENSG00000301524.1,ENST00000779476.1,-,25561196,25562212,21
ENSG00000283904.1,ENST00000385060.1,+,25573980,25574044,21
ENSG00000260583.1,ENST00000567517.1,-,25582770,25583326,21
ENSG00000296604.1,ENST00000740718.1,+,25607584,25607829,21
ENSG00000296604.1,ENST00000740718.1,+,25608390,25608530,21
ENSG00000237731.1,ENST00000420965.1,+,25643489,25644216,21
ENSG00000228861.5,ENST00000467573.1,+,39127568,39128040,21
ENSG00000297893.1,ENST00000751567.1,+,39183932,39184074,21
ENSG00000297893.1,ENST00000751567.1,+,39247712,39247943,21
ENSG00000298029.1,ENST00000752575.1,+,39349483,39349562,21
ENSG00000298029.1,ENST00000752575.1,+,39350342,39350428,21
ENSG00000298029.1,ENST00000752575.1,+,39376791,39376982,21
ENSG00000298046.1,ENST00000752701.1,+,39367083,39367362,21
ENSG00000298046.1,ENST00000752701.1,+,39370581,39370894,21
ENSG00000307843.1,ENST00000829311.1,+,45033333,45033660,21
ENSG00000307843.1,ENST00000829311.1,+,45043830,45044380,21
ENSG00000295969.1,ENST00000734626.1,+,45052301,45052451,21
ENSG00000295969.1,ENST00000734626.1,+,45068978,45069210,21
ENSG00000295969.1,ENST00000734626.1,+,45069330,45069382,21
ENSG00000295969.1,ENST00000734626.1,+,45069916,45070723,21
ENSG00000267857.3,ENST00000596207.3,-,45100484,45101272,21
ENSG00000244294.3,ENST00000467060.3,-,33918995,33919338,21
ENSG00000293371.1,ENST00000632732.1,-,38204141,38206080,21
ENSG00000270835.3,ENST00000605450.1,-,38204544,38205606,21
ENSG00000233316.4,ENST00000432141.1,+,38206156,38206360,21
ENSG00000233316.4,ENST00000432141.1,+,38206472,38206616,21
ENSG00000233316.4,ENST00000432141.1,+,38208135,38208644,21
ENSG00000289927.2,ENST00000701791.2,+,38229926,38230023,21
ENSG00000289927.2,ENST00000701791.2,+,38235263,38235572,21
ENSG00000226012.1,ENST00000444977.1,-,38238113,38238201,21
ENSG00000226012.1,ENST00000444977.1,-,38237217,38237414,21
ENSG00000231123.1,ENST00000423089.1,-,38238227,38238664,21
ENSG00000228137.1,ENST00000444966.1,+,46246890,46247231,21
ENSG00000228137.1,ENST00000444966.1,+,46247635,46247682,21
ENSG00000308572.1,ENST00000835142.1,+,29002847,29003401,21
ENSG00000304313.1,ENST00000802489.1,+,29178096,29178962,21
ENSG00000304313.1,ENST00000802489.1,+,29180463,29180681,21
ENSG00000304313.1,ENST00000802489.1,+,29181900,29182343,21
ENSG00000176054.6,ENST00000320371.6,-,28997613,28998033,21
ENSG00000273254.1,ENST00000608809.1,-,29024255,29024890,21
ENSG00000231125.2,ENST00000457162.2,-,29059422,29060095,21
ENSG00000231125.2,ENST00000457162.2,-,29058073,29058192,21
ENSG00000286018.1,ENST00000651960.1,+,29063446,29064036,21
ENSG00000286018.1,ENST00000651960.1,+,29064229,29064368,21
ENSG00000232687.1,ENST00000412942.1,-,29127701,29128188,21
ENSG00000201984.1,ENST00000365114.1,-,29139283,29139384,21
ENSG00000212479.2,ENST00000391177.2,-,29180425,29180639,21
ENSG00000236056.1,ENST00000450472.1,+,29222321,29223257,21
ENSG00000232360.2,ENST00000427911.2,-,32849895,32850008,21
ENSG00000232360.2,ENST00000427911.2,-,32844342,32844710,21
ENSG00000279690.1,ENST00000624800.1,-,32790673,32791504,21
